"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"6/05/2019","Quest Diagnostics Incorporated","Quest Diagnostics 702-733-7866 Nv","36.75","debit","Doctor","Cassie's Reward Card","",""
"6/05/2019","Amazon","Amzn Mktp Us*m64bt0l42 Amzn.com/bill Wa","12.03","debit","Shopping","Cassie's Reward Card","",""
"6/05/2019","Amazon","Amzn Mktp Us*m65489to1 Amzn.com/bill Wa","7.31","debit","Shopping","Cassie's Reward Card","",""
"6/05/2019","Amazon","Amzn Mktp Us*m64eg9ea1 Amzn.com/bill Wa","44.45","debit","Shopping","Cassie's Reward Card","",""
"6/04/2019","payment Shadow Springs C","Web Authorized Pmt Shadow Springs C","43.00","debit","Alcohol & Bars","Main Checking","",""
"6/04/2019","Chase Credit Crd","Electronic Withdrawal Chase Credit Crd","5.40","debit","Credit Card Payment","Main Checking","",""
"6/04/2019","Grove Ca","Grove 844-476-8375 Ca","50.54","credit","Credit Card Payment","Cassie's Reward Card","",""
"6/03/2019","Wal-Mart","Wal-mart Supercenter#3 St George Ut","2.76","debit","Shopping","Ryan's Reward Card","",""
"6/03/2019","Centennial LLC","Centennial_158 Las Vegas Usa","30.70","debit","Business Services","Ryan's Reward Card","",""
"6/03/2019","Smiths-fuel #9334 0000 N Las Vegas Nv","Smiths-fuel #9334 0000 N Las Vegas Nv","45.76","debit","Gas & Fuel","Ryan's Reward Card","",""
"6/03/2019","Dq Grill N Chill #1895 Saint George Ut","Dq Grill N Chill #1895 Saint George Ut","12.64","debit","Restaurants","Ryan's Reward Card","",""
"6/03/2019","Subway","Subway 026937 2 St George Ut","5.90","debit","Fast Food","Ryan's Reward Card","",""
"6/03/2019","Deseret Book","Deseret Book Co #49 Las Vegas Nv","28.08","debit","Books","Ryan's Reward Card","",""
"6/03/2019","Wal-Mart","Wal-mart Supercenter 3 North Las Veg Nv","36.88","debit","Shopping","Ryan's Reward Card","",""
"6/03/2019","Transfer from Main Checking","Funds Transfer-credit 0644","50.00","credit","Transfer","Cassie's Checking","",""
"6/03/2019","Transfer to Savings","Start Scheduled Transfer","20.00","debit","Transfer","Main Checking","",""
"6/03/2019","Transfer to Cassie's Checking","Funds Transfer-debit 3211","50.00","debit","Transfer","Main Checking","",""
"6/03/2019","Brinks Home Sec","Electronic Withdrawal Brinks Home Sec","46.11","debit","Restaurants","Main Checking","",""
"6/03/2019","Caliber Home Loa","Electronic Withdrawal Caliber Home Loa","1061.22","debit","Mortgage & Rent","Main Checking","",""
"6/03/2019","Transfer to Ryan's Checking","Funds Transfer-debit 3203","50.00","debit","Transfer","Main Checking","",""
"6/03/2019","Transfer from Main Checking","Funds Transfer-credit 0644","50.00","credit","Transfer","Ryan's Checking","",""
"6/03/2019","Transfer from Main Checking","Start Scheduled Transfer Deposit","20.00","credit","Transfer","Savings","",""
"6/03/2019","Square P Ppdl","Square Inc      9424300002190603Square Inc      9424300002190603P2  PPDL*******94335Cassandra H Burton    REF # 019154007176698","10.51","credit","Misc Expenses","Student Checking","",""
"6/03/2019","Grove Httpswww.grov Ca","Grove Httpswww.grov Ca","50.54","debit","Alcohol & Bars","Cassie's Reward Card","",""
"6/03/2019","Disney","Dis*disney Movie Club 800-362-4587 Ca","36.70","debit","Travel","Cassie's Reward Card","",""
"6/03/2019","Amazon","Amzn Mktp Us*m60zg6c42 Amzn.com/bill Wa","28.48","debit","Shopping","Cassie's Reward Card","",""
"6/03/2019","Deseret Book","Deseret Book Co #49 Las Vegas Nv","0.70","credit","Books","Cassie's Reward Card","",""
"6/03/2019","Cowabunga Bay Henderson Nv","Cowabunga Bay Henderson Nv","2.15","debit","Restaurants","Cassie's Reward Card","",""
"6/03/2019","Cowabunga Bay Henderson Nv","Cowabunga Bay Henderson Nv","7.00","debit","Restaurants","Cassie's Reward Card","",""
"6/03/2019","Transfer from Main Checking","AUTOMATIC PAYMENT - THANK","5.40","credit","Credit Card Payment","CREDIT CARD","",""
"5/31/2019","Wal-Mart","WM SUPERCENTER #4339","39.74","debit","Shopping","Quicksilver","",""
"5/31/2019","05/30 card 1746 Smiths Fu 5564 Cnorth Las Venv","Debit Purchase 05/30 card 1746 Smiths Fu 5564 Cnorth Las Venv","52.39","debit","Gas & Fuel","Main Checking","",""
"5/31/2019","Amazon","Amzn Mktp Us*mn4if5ib2 Amzn.com/bill Wa","2.80","debit","Shopping","Cassie's Reward Card","",""
"5/30/2019","Wish.com","Order.wish.com Www.wish.com Ca","42.60","debit","Shopping","Cassie's Reward Card","",""
"5/29/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","85.39","debit","Misc Expenses","Cassie's Reward Card","",""
"5/29/2019","Cafe Rio","Cafe Rio Centennial 00 Las Vegas Nv","22.05","debit","Food & Dining","Ryan's Reward Card","",""
"5/29/2019","Chevron","Chevron 0072828/chevro Cedar City Ut","39.86","debit","Gas & Fuel","Ryan's Reward Card","",""
"5/29/2019","Deseret Book","Deseret Book Co #49 Las Vegas Nv","20.20","debit","Books","Ryan's Reward Card","",""
"5/29/2019","Deseret Book","Deseret Book Co #49 Las Vegas Nv","33.60","debit","Books","Ryan's Reward Card","",""
"5/29/2019","payment Lds Church","Web Authorized Pmt Lds Church","416.29","debit","Charity","Main Checking","",""
"5/29/2019","Allstate","Electronic Withdrawal Allstate Ins Co","173.05","debit","Auto Insurance","Main Checking","",""
"5/28/2019","Internet Payment Thank You","Internet Payment Thank You","77.11","credit","Credit Card Payment","Ryan's Reward Card","",""
"5/28/2019","Bloomington Market 000 Saint George Ut","Bloomington Market 000 Saint George Ut","11.12","debit","Groceries","Ryan's Reward Card","",""
"5/28/2019","7-Eleven","7 Eleven 36339 9363396 Payson Ut","25.21","debit","Fast Food","Ryan's Reward Card","",""
"5/28/2019","Wendy's","Wendy's #5 000000005 Payson Ut","13.62","debit","Fast Food","Ryan's Reward Card","",""
"5/28/2019","Wendy's","Wendys Of South Ut 000 Cedar City Ut","16.99","debit","Fast Food","Ryan's Reward Card","",""
"5/28/2019","Quicken","Bt*quicken Inc Menlo Park Ca","89.99","debit","Electronics & Software","Ryan's Reward Card","",""
"5/28/2019","Life Ins Of Sw","Electronic Withdrawal Life Ins Of Sw","130.00","debit","Life Insurance","Main Checking","",""
"5/28/2019","payment Capital One","Web Authorized Pmt Capital One","249.36","debit","Transfer for Cash Spending","Main Checking","",""
"5/28/2019","Internet Payment Thank You","Internet Payment Thank You","3202.62","credit","Credit Card Payment","Cassie's Reward Card","",""
"5/28/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","166.05","debit","Misc Expenses","Cassie's Reward Card","",""
"5/28/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","50.78","debit","Misc Expenses","Cassie's Reward Card","",""
"5/28/2019","Internet Banking Payment To Credit Card 05/27 card 6314 6314","Internet Banking Payment To Credit Card 05/27 card 6314 6314","3202.62","debit","Credit Card Payment","Main Checking","",""
"5/28/2019","Internet Banking Payment To Credit Card 05/27 card 5078 5078","Internet Banking Payment To Credit Card 05/27 card 5078 5078","77.11","debit","Credit Card Payment","Main Checking","",""
"5/27/2019","CREDIT-CASH BACK REWARD","CREDIT-CASH BACK REWARD","247.71","credit","Credit Card Payment","Quicksilver","",""
"5/27/2019","Transfer from Main Checking","CAPITAL ONE ONLINE PYMT AuthDate 27-May","249.36","credit","Credit Card Payment","Quicksilver","",""
"5/25/2019","Chevron","CHEVRON 0206809","45.71","debit","Gas & Fuel","Quicksilver","",""
"5/24/2019","Cox Enterprises","Electronic Deposit Cox Enterprises","3069.77","credit","Income","Main Checking","",""
"5/24/2019","Wal-Mart","Debit Purchase 05/24 card 2863 Wal-mart #1439 Washington Ut","143.61","debit","Shopping","Main Checking","",""
"5/24/2019","Amazon","Amzn Mktp Us*mn71388i0 Amzn.com/bill Wa","10.88","debit","Shopping","Cassie's Reward Card","",""
"5/23/2019","AA Auto Care 1100","AA AUTO CARE 270","9.99","debit","Auto & Transport","Quicksilver","",""
"5/23/2019","Fantastic Sams","FANTASTIC SAMS - CAMINO A","9.00","debit","Hair","Quicksilver","",""
"5/23/2019","MOBILE XFER TO DDA BURTON STEPH ID: 000009786","MOBILE XFER TO DDA BURTON STEPHMOBILE XFER TO DDA BURTON STEPH         ID: 000009786","61.62","debit","Transfer","Student Checking","",""
"5/23/2019","Interest Paid This Period","Interest Paid This Period","0.06","credit","Interest Income","Savings","",""
"5/23/2019","DMV","Dmv-44 775-684-4513 Nv","446.00","debit","Auto & Transport","Cassie's Reward Card","",""
"5/23/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","123.00","debit","Misc Expenses","Cassie's Reward Card","",""
"5/22/2019","payment Lds Church","Web Authorized Pmt Lds Church","446.29","debit","Charity","Main Checking","",""
"5/22/2019","05/21 card 1746 Smiths Fu 5564 Cnorth Las Venv","Debit Purchase 05/21 card 1746 Smiths Fu 5564 Cnorth Las Venv","51.29","debit","Gas & Fuel","Main Checking","",""
"5/21/2019","Europcar","Europcar","57.71","debit","Rental Car & Taxi","Quicksilver","",""
"5/21/2019","payment Capital One","Web Authorized Pmt Capital One","926.34","debit","Transfer for Cash Spending","Main Checking","",""
"5/21/2019","Gateway","Electronic Withdrawal Gateway One Lend","529.41","debit","Auto Payment","Main Checking","",""
"5/21/2019","PayPal","Web Authorized Pmt Paypal","2.99","debit","Shopping","Main Checking","",""
"5/21/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","85.01","debit","Misc Expenses","Cassie's Reward Card","",""
"5/21/2019","Netflix","Netflix.com Netflix.com Ca","15.99","debit","Movies & DVDs","Cassie's Reward Card","",""
"5/20/2019","HEINEMANN DUTY FREE","HEINEMANN DUTY FREE","4.58","debit","Alcohol & Bars","Quicksilver","",""
"5/20/2019","TANKE 65795","TANKE 65795","70.72","debit","Restaurants","Quicksilver","",""
"5/20/2019","Shell","SHELL 0311","29.05","debit","Gas & Fuel","Quicksilver","",""
"5/20/2019","CAPITAL ONE MOBILE payment AuthDate 20-M ay","CAPITAL ONE MOBILE PYMT AuthDate 20-M ay","926.34","credit","Credit Card Payment","Quicksilver","",""
"5/20/2019","GERMANY ON MY MIND","GERMANY ON MY MIND","22.60","debit","Groceries","Quicksilver","",""
"5/20/2019","Transfer to Ryan's Checking","Monthly Maintenance Fee","6.95","debit","Transfer","Cassie's Checking","",""
"5/20/2019","Transfer from Ryan's Checking","Monthly Maintenance Fee Waived","6.95","credit","Transfer","Cassie's Checking","",""
"5/20/2019","- Visa 05/17 card 2863 Truforce Nevada 702-3235959 Nv","Debit Purchase - Visa 05/17 card 2863 Truforce Nevada 702-3235959 Nv","30.00","debit","Restaurants","Main Checking","",""
"5/20/2019","Sunnova","Electronic Withdrawal Sunnova","98.89","debit","Utilities","Main Checking","",""
"5/20/2019","Paparazzi Llc","Electronic Deposit Paparazzi, Llc","156.90","credit","Misc Expenses","Main Checking","",""
"5/20/2019","Transfer from Cassie's Checking","Monthly Maintenance Fee Waived","6.95","credit","Transfer","Ryan's Checking","",""
"5/20/2019","Transfer to Cassie's Checking","Monthly Maintenance Fee","6.95","debit","Transfer","Ryan's Checking","",""
"5/20/2019","Audible.com","Audible Us*mn5mx8x90 888-283-5051 Nj","14.95","debit","Books","Cassie's Reward Card","",""
"5/17/2019","Confiserie Tschirren AG","Confiserie Tschirren AG","22.14","debit","Restaurants","Quicksilver","",""
"5/17/2019","Landi Top Shop","Landi Top Shop","43.44","debit","Clothing","Quicksilver","",""
"5/17/2019","SOCAR Tankstelle","SOCAR Tankstelle","72.78","debit","Gas & Fuel","Quicksilver","",""
"5/17/2019","INTEREST PAYMENT","INTEREST PAYMENT","0.54","credit","Interest Income","Money Market Account","",""
"5/16/2019","Familie Kaspar von Almen","Familie Kaspar von Almen","21.88","debit","Health Insurance","Quicksilver","",""
"5/16/2019","BOB LAUTERBRUNNEN","BOB LAUTERBRUNNEN","377.20","debit","Vacation","Quicksilver","",""
"5/16/2019","McDonald's","McDonald's Rest. 20014","29.24","debit","Fast Food","Quicksilver","",""
"5/16/2019","LINDT & SPRUENGLI CH","LINDT & SPRUENGLI CH","18.65","debit","Gift","Quicksilver","",""
"5/16/2019","LIDL 159 - MATTEN","LIDL 159 - MATTEN","27.01","debit","Groceries","Quicksilver","",""
"5/16/2019","RESTAURATIONSBETRIEBE","RESTAURATIONSBETRIEBE","11.58","debit","Restaurants","Quicksilver","",""
"5/16/2019","payment Capital One","Web Authorized Pmt Capital One","2001.66","debit","Property Tax","Main Checking","",""
"5/16/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","82.23","debit","Misc Expenses","Cassie's Reward Card","",""
"5/15/2019","Schwan's","Schloss Neuschwanstein","6.64","debit","Food & Dining","Quicksilver","",""
"5/15/2019","Hotel Helmer Hof","Hotel Helmer Hof","64.68","debit","Hotel","Quicksilver","",""
"5/15/2019","CAPITAL ONE MOBILE payment AuthDate 15-M ay","CAPITAL ONE MOBILE PYMT AuthDate 15-M ay","2001.66","credit","Credit Card Payment","Quicksilver","",""
"5/15/2019","GASTHOF BEI WEIRICH","GASTHOF BEI WEIRICH","231.10","debit","Restaurants","Quicksilver","",""
"5/15/2019","PayPal","Web Authorized Pmt Paypal","9.99","debit","Shopping","Main Checking","",""
"5/14/2019","Italia Restaurant-Eiscafe","Italia Restaurant-Eiscafe","28.51","debit","Restaurants","Quicksilver","",""
"5/14/2019","Continental","CAFE CONTINENTE","65.14","debit","Air Travel","Quicksilver","",""
"5/14/2019","REWE Moerfelden-Wa","REWE Moerfelden-Wa","22.26","debit","Groceries","Quicksilver","",""
"5/14/2019","Hertz","HERTZ UK LIMITED - DCC","155.88","debit","Rental Car & Taxi","Quicksilver","",""
"5/14/2019","Kathe Wohlfahrt KG 1010","Kathe Wohlfahrt KG 1010","10.42","debit","Restaurants","Quicksilver","",""
"5/14/2019","Kathe Wohlfahrt KG 1030","Kathe Wohlfahrt KG 1030","688.51","debit","Vacation","Quicksilver","",""
"5/14/2019","payment Connie Burton","Web Authorized Pmt Connie Burton","79.80","debit","Financial","Main Checking","",""
"5/14/2019","Nv Energy South","Electronic Withdrawal Nv Energy South","14.70","debit","Utilities","Main Checking","",""
"5/14/2019","Ww Int'l-franchise 800-651-6000 Ny","Ww Int'l-franchise 800-651-6000 Ny","51.00","debit","Charity","Cassie's Reward Card","",""
"5/13/2019","Jules","JULES & GEMS","44.39","debit","Personal Care","Quicksilver","",""
"5/13/2019","C`EST ICI","C`EST ICI","9.14","debit","Restaurants","Quicksilver","",""
"5/13/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","6.53","debit","Entertainment","Quicksilver","",""
"5/13/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","6.53","debit","Entertainment","Quicksilver","",""
"5/13/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","13.06","debit","Entertainment","Quicksilver","",""
"5/13/2019","WARNERBROS STUDIOS","WARNERBROS STUDIOS","48.51","debit","Alcohol & Bars","Quicksilver","",""
"5/13/2019","WARNER BROS STUDIO","WARNER BROS STUDIO","152.63","debit","Internet","Quicksilver","",""
"5/13/2019","Monthly Maintenance Fee Waived","Monthly Maintenance Fee Waived","14.95","credit","Bank Fee","Main Checking","",""
"5/13/2019","Monthly Maintenance Fee","Monthly Maintenance Fee","14.95","debit","Bank Fee","Main Checking","",""
"5/13/2019","Southwest Gas","Electronic Withdrawal Southwest Gas","22.23","debit","Utilities","Main Checking","",""
"5/12/2019","HP Instant Ink","HP *INSTANT INK","5.40","debit","Printing","CREDIT CARD","",""
"5/11/2019","ARTHUR PROBSTHAIN","ARTHUR PROBSTHAIN","88.85","debit","Restaurants","Quicksilver","",""
"5/11/2019","ST PAULS CATHEDRAL SHO","ST PAULS CATHEDRAL SHO","3.26","debit","Travel","Quicksilver","",""
"5/11/2019","Pret A Manger","PRET A MANGER","10.18","debit","Fast Food","Quicksilver","",""
"5/11/2019","C`EST ICI","C`EST ICI","20.37","debit","Restaurants","Quicksilver","",""
"5/11/2019","PIZZA EXPRESS 2091","PIZZA EXPRESS 2091","20.37","debit","Restaurants","Quicksilver","",""
"5/11/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","19.59","debit","Entertainment","Quicksilver","",""
"5/10/2019","GWR LOND PADD SST","GWR LOND PADD SST","39.37","debit","Public Transportation","Quicksilver","",""
"5/10/2019","WAITROSE 772","WAITROSE 772","12.06","debit","Groceries","Quicksilver","",""
"5/10/2019","HAMPTON COURT SERVICE STA","HAMPTON COURT SERVICE STA","66.45","debit","Gas & Fuel","Quicksilver","",""
"5/10/2019","HAMPTON COURT SERVICE STA","HAMPTON COURT SERVICE STA","2.43","debit","Gas & Fuel","Quicksilver","",""
"5/10/2019","BENITOS HAT","BENITOS HAT","25.95","debit","Restaurants","Quicksilver","",""
"5/10/2019","WINDSOR CASTLE RETAIL","WINDSOR CASTLE RETAIL","71.71","debit","Travel","Quicksilver","",""
"5/10/2019","Cox Enterprises","Electronic Deposit Cox Enterprises","3061.42","credit","Income","Main Checking","",""
"5/10/2019","Amazon","Amzn Mktp Us*mn24w5fd0 Amzn.com/bill Wa","11.99","debit","Shopping","Cassie's Reward Card","",""
"5/09/2019","Meridian","MERIDIAN GIFT SHOP","9.16","debit","Business Services","Quicksilver","",""
"5/09/2019","GODDARDS AT GREENWICH","GODDARDS AT GREENWICH","11.64","debit","Restaurants","Quicksilver","",""
"5/09/2019","GODDARDS AT GREENWICH","GODDARDS AT GREENWICH","18.84","debit","Restaurants","Quicksilver","",""
"5/09/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","19.63","debit","Entertainment","Quicksilver","",""
"5/09/2019","LUL TICKET MACHINE","LUL TICKET MACHINE","13.08","debit","Entertainment","Quicksilver","",""
"5/09/2019","ICELAND","ICELAND","10.52","debit","Groceries","Quicksilver","",""
"5/09/2019","ICELAND","ICELAND","8.95","debit","Groceries","Quicksilver","",""
"5/08/2019","Uncle","UNCLE SAMS","15.17","debit","Hotel","Quicksilver","",""
"5/08/2019","NMRN OPS","NMRN OPS","53.84","debit","Restaurants","Quicksilver","",""
"5/08/2019","POMODORO E MOZZARELLA","POMODORO E MOZZARELLA","53.98","debit","Restaurants","Quicksilver","",""
"5/08/2019","PORTSMOUTH NAVAL BASE","PORTSMOUTH NAVAL BASE","3.41","debit","Restaurants","Quicksilver","",""
"5/08/2019","Cox Communications","Electronic Withdrawal Cox Comm Las","23.48","debit","Television","Main Checking","",""
"5/07/2019","BIBURY TROUT FARM","BIBURY TROUT FARM","3.42","debit","Restaurants","Quicksilver","",""
"5/07/2019","TESCO STORES 5475","TESCO STORES 5475","3.42","debit","Groceries","Quicksilver","",""
"5/07/2019","BIBURY TROUT FARM","BIBURY TROUT FARM","2.96","debit","Restaurants","Quicksilver","",""
"5/07/2019","STONEHENGE","STONEHENGE","10.54","debit","Travel","Quicksilver","",""
"5/07/2019","FABPOST LTD","FABPOST LTD","1.78","debit","Restaurants","Quicksilver","",""
"5/07/2019","Esso","ESSO NEW SARUM SSTN","79.08","debit","Gas & Fuel","Quicksilver","",""
"5/07/2019","SumUp *The master frye","SumUp  *The master frye","16.99","debit","Restaurants","Quicksilver","",""
"5/06/2019","FRESH 4 LUNCH","FRESH 4 LUNCH","8.70","debit","Fast Food","Quicksilver","",""
"5/06/2019","SAINSBURYS S/MKTS","SAINSBURYS S/MKTS","17.53","debit","Groceries","Quicksilver","",""
"5/06/2019","Chili's","CHILIS BIG MOUTH D LAS","6.92","debit","Restaurants","Quicksilver","",""
"5/06/2019","Chase Credit Crd","Electronic Withdrawal Chase Credit Crd","9.15","debit","Credit Card Payment","Main Checking","",""
"5/06/2019","North Las Vegas","Electronic Withdrawal North Las Vegas","77.08","debit","Utilities","Main Checking","",""
"5/06/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","69.20","debit","Misc Expenses","Cassie's Reward Card","",""
"5/06/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","21.76","debit","Misc Expenses","Cassie's Reward Card","",""
"5/06/2019","PDQ","Pdq 413 724-2831878 Nv","22.16","debit","Gas & Fuel","Cassie's Reward Card","",""
"5/06/2019","Dignity St Rose Craig 877-5160911 Nv","Dignity St Rose Craig 877-5160911 Nv","1618.78","debit","Vacation","Cassie's Reward Card","",""
"5/03/2019","Shell","Shell Oil 57442053906 Las Vegas Nv","47.51","debit","Gas & Fuel","Ryan's Reward Card","",""
"5/03/2019","05/02 card 1746 Smiths-fu 2255 Enorth Las Venv","Debit Purchase 05/02 card 1746 Smiths-fu 2255 Enorth Las Venv","43.56","debit","Gas & Fuel","Main Checking","",""
"5/03/2019","Culver's Of St. Ge St. George Ut","Culver's Of St. Ge St. George Ut","11.70","debit","Fast Food","Cassie's Reward Card","",""
"5/03/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","36.90","debit","Misc Expenses","Cassie's Reward Card","",""
"5/03/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","36.90","debit","Misc Expenses","Cassie's Reward Card","",""
"5/03/2019","The Wood Connection Saint George Ut","The Wood Connection Saint George Ut","50.97","debit","Restaurants","Cassie's Reward Card","",""
"5/03/2019","AUTOMATIC PAYMENT - THANK","AUTOMATIC PAYMENT - THANK","9.15","credit","Credit Card Payment","CREDIT CARD","",""
"5/02/2019","Brinks Home Sec","Electronic Withdrawal Brinks Home Sec","46.11","debit","Restaurants","Main Checking","",""
"5/02/2019","payment Shadow Springs C","Web Authorized Pmt Shadow Springs C","43.00","debit","Alcohol & Bars","Main Checking","",""
"5/02/2019","Pizza Hut","Pizza Hut #032340 Https://ipcha Nv","8.65","debit","Fast Food","Cassie's Reward Card","",""
"5/02/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","72.36","debit","Misc Expenses","Cassie's Reward Card","",""
"5/01/2019","Transfer from Main Checking","Funds Transfer-credit 0644","50.00","credit","Transfer","Cassie's Checking","",""
"5/01/2019","Transfer to Savings","Start Scheduled Transfer","20.00","debit","Transfer","Main Checking","",""
"5/01/2019","Funds Transfer-debit 3211","Funds Transfer-debit 3211","50.00","debit","Transfer","Main Checking","",""
"5/01/2019","04/30 card 1746 Smiths-fu 2255 Enorth Las Venv","Debit Purchase 04/30 card 1746 Smiths-fu 2255 Enorth Las Venv","50.18","debit","Gas & Fuel","Main Checking","",""
"5/01/2019","Caliber Home Loa","Electronic Withdrawal Caliber Home Loa","1061.22","debit","Mortgage & Rent","Main Checking","",""
"5/01/2019","Transfer to Cassie's Checking","Funds Transfer-debit 3203","50.00","debit","Transfer","Main Checking","",""
"5/01/2019","Transfer from Main Checking","Funds Transfer-credit 0644","50.00","credit","Transfer","Ryan's Checking","",""
"5/01/2019","Transfer from Main Checking","Start Scheduled Transfer Deposit","20.00","credit","Transfer","Savings","",""
"5/01/2019","Paparazzi Llc 855-697-2727 Ut","Paparazzi Llc 855-697-2727 Ut","85.01","debit","Misc Expenses","Cassie's Reward Card","",""
"4/30/2019","payment Lds Church","Web Authorized Pmt Lds Church","416.29","debit","Charity","Main Checking","",""
"4/30/2019","Transfer to Ryan's Checking","Debit Purchase -visa 04/29 card 2863 Advanced Psychialas Vegas Nv","50.00","debit","Health & Fitness","Main Checking","",""
